class_name,question,id
CANCEL,want help seeing thecancellation fees,3312
REFUND,want help getting goddamn reimbursements of money,16011
INVOICE,I don't know what I ahve to do to see my bill from {{Person Name}},4301
FEEDBACK,I want to lodge a consumer reclamation against your company,7220
ORDER,how do I purchase several of your product ?,19270
FEEDBACK,I am trying to make a customer complaint,7490
SUBSCRIPTION,I want assistance to receive your company newsletter,17801
CONTACT,I want help speaking to a person,9397
INVOICE,"I have to look for my bill #85632, could I get some help?",4207
SUBSCRIPTION,need help cancelling the subscription to ur newesletter,17032
PAYMENT,will utell me the accepted payment options,4967
ACCOUNT,correcting details on freemium account,14430
REFUND,can you help me checking your reimbursement policy?,6353
REFUND,I want assistance to see the status of the compensation,26286
SHIPPING,there are issues setting a shipping address up,23801
PAYMENT,I want assistance checking the payment modalities,5488
REFUND,what do I have to do to check the status of the rebate?,26370
SHIPPING,where can I get information about an address correction ?,2409
PAYMENT,how can I check what payment methods are allowed?,5501
SUBSCRIPTION,wanna nusubscribe from the company newsletter,17830
SHIPPING,I have an error updating my fucking shipping address,2605
CONTACT,how can i speakto customer assistance,8565
CANCEL,can i sde the termination fee,3825
PAYMENT,"I can't make a transfer, can I notify of payment errors?",17924
CONTACT,how do I check at what time I can call customer assistance?,8220
INVOICE,need to locate my invoice #37777 how do i do it,4351
SHIPPING,help correcting my address,2292
SHIPPING,I have issues editing my address,2747
INVOICE,I want assistance locating my invoices from {{Person Name}},4157
ORDER,I do not know what I need to do to acquire several products,19754
CANCEL,how do I check the termination charge?,3177
CANCEL,what are the fees for canceling the contract?,3635
ORDER,need to eddit order {{Order Number}},1793
FEEDBACK,icall to file a complaint against ur company,7049
FEEDBACK,i call to write a comment for ur products,22750
SHIPPING,there are errors submitting the new shipping address,23869
CONTACT,help me contacting a fucking human agent,8941
ORDER,i do not know how to cancel order {{Order Number}},534
DELIVERY,can you help me check how oson can I expect the parcel?,13436
DELIVERY,assistance seeing what shipment options are available,12724
FEEDBACK,"I am unhappy with your work, lodge a claim",7258
REFUND,assistance seeing your money back policy,5968
ORDER,could i delete a item from purchase {{Order Number}},1114
REFUND,could I check in what cases can I request reimbursements?,6886
FEEDBACK,how do I lodge a damn consumer reclamation?,7170
CONTACT,"I have to contact customer support, I need assistnace",8124
ACCOUNT,correcting info on {{Account Category}} account,14529
INVOICE,I don't know what to do to get my bills from {{Person Name}},15829
CONTACT,help talking with customer assistance,8644
ORDER,"I can't pay for this item, cancel order {{Order Number}}",410
FEEDBACK,I need help lodging an reclamation against your company,7165
SHIPPING,there is an issue entering another delivery address,23398
DELIVERY,what shipping methods do I have?,12820
SHIPPING,error modifying address,2793
CONTACT,I have to speak with a person,9161
FEEDBACK,assistance to make a customer claim agaisnt ur organization,7565
REFUND,I have to see in what situations can I ask for a refund,6019
ORDER,I don't know how I can earn several products,19453
CONTACT,assistance to see what hours i can call customer service,8266
DELIVERY,where to see when my order is gonna arrive,13147
PAYMENT,"I have to se what payment methods you accept, I need help",5517
CANCEL,where  do i check the withdrawal penalties,3178
PAYMENT,where can I report problems with payments?,17899
INVOICE,need help downloading the invoices from {{Person Name}},14928
CONTACT,I want help to talk to a live agent,8947
ORDER,want assistance to cancel order  {{Order Number}},32
ACCOUNT,how do I change to the standard account?,24853
SHIPPING,can uhelp me to set my secondary delivery addressd up,23033
ACCOUNT,pudate {{Account Category}} account,14180
SHIPPING,help me modifying the adress,2529
DELIVERY,i want assistance to check how soon can i expect my item,12957
SUBSCRIPTION,I cannot cancel the corporate newsletter subscrition,17483
CONTACT,can ya help me speaking to a person,9091
ORDER,where can I see order {{Order Number}} status?,25867
SHIPPING,i have an error trying to edit the address,2850
SHIPPING,i have got toedit the address,2378
REFUND,help me see in which situations cani ask to be refunded,6746
CONTACT,what do I have to do to talk with an agent?,9579
INVOICE,I need help locating my invoices from {{Person Name}},4623
ACCOUNT,help to report problems with registrations,21289
SHIPPING,can you help me enter a different shipping address?,23216
SUBSCRIPTION,where do i receive ur company newsletter,17539
PAYMENT,tell accepted payment options,5675
INVOICE,chck bill from {{Person Name}},4149
INVOICE,see invoicefrom {{Person Name}},4598
ACCOUNT,can uhelp me notifying of a registration issue,21780
ACCOUNT,change to {{Account Type}} acount,23897
REFUND,I am waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},26553
