class_name,question,id
ORDER,i do not know what to do to purchase several of ur product,19650
SHIPPING,I have problems entering a different shipping address,23303
SUBSCRIPTION,how to subscribe to the corporate newsletter,17108
SUBSCRIPTION,asxsistance receiving your newsletter,17105
SHIPPING,help correcting my address,2292
ACCOUNT,"I never make use of the gold account, help me deleting it",11482
PAYMENT,how can I report payment errors?,18455
SHIPPING,"the delivery address changed, could I change it?",2921
REFUND,help me see in which situations cani ask to be refunded,6746
CONTACT,help me see at what time i can call customer support,8165
FEEDBACK,i call to lodge a customer complaint against ur organization,7334
PAYMENT,want assistance reporting troubles with payment,18166
CONTACT,i dont know what i have to do to speak to an operator,9850
SHIPPING,assistance to set my new shipping address up,23029
REFUND,help me to request a rebate of my money,16743
INVOICE,what do I need to do to download my bills from {{Person Name}}?,15129
SHIPPING,can uhelp me to set my secondary delivery addressd up,23033
SHIPPING,"my shipping address is invalid, I need help",23627
PAYMENT,i need help to inform of issues with online payments,17928
CONTACT,can ya help me contactsomebody,8918
REFUND,I expect a reimbursmeent of {{Refund Amount}} dollars,26545
ACCOUNT,I cannot switch to the standard account,24816
ACCOUNT,"I never use the standard account, how can I remove it?",11306
PAYMENT,where to check what payment payment modalities are available,5270
FEEDBACK,wanna oldge a claim against ur company will uhelp me,7282
ACCOUNT,create new {{Account Type}} account for daughter,9997
DELIVERY,do uship to {{Delivery City}},12475
ACCOUNT,update {{Account Type}} account,13974
PAYMENT,can you help me notifying of a trouble with online payments?,18278
INVOICE,I do not know what I need to do to download bill #37777,15564
DELIVERY,shiping to {{Delivery City}},12229
DELIVERY,assistance to check what delivery options are there,12273
ORDER,i dont want purchase {{Order Number}} could i cancel it,321
ORDER,I am trying to oredr several of your article,19314
INVOICE,I want assistance to give a quick look at the invoice #37777,4224
ORDER,want help to acquire several of your product,19028
DELIVERY,do you deliver to {{Delivery City}} ?,12646
FEEDBACK,help filing a consumer complaint against ur business,7801
PAYMENT,I need assistance notifying of a problem with online payment,18349
FEEDBACK,I try to file a  claim,7038
ORDER,"I want to order several articles, could you help me?",19391
FEEDBACK,I want to make a customer claim,7513
DELIVERY,do you ship to {{Delivery City}}?,12029
CANCEL,is it possible to see the early exit fees?,3007
SUBSCRIPTION,I do not know how I can sign up to the corporate newsletter,17093
SUBSCRIPTION,I do not know how I can sign up to the goddamn newsletter,17683
CONTACT,help me chat with someone,9379
ORDER,I do not know what to do to earn several of yoru item,19649
REFUND,how long till i get a compensation of mnoney,16837
INVOICE,find my bills from {{Person Name}},4403
INVOICE,"I would like to get the bill from {{Person Name}}, help me",15618
FEEDBACK,i want assistance to send feedback for ur company,22613
FEEDBACK,i dont know what to do to write a comment about a product,22639
REFUND,i need assistance getting compensations of my money,16140
SHIPPING,i want information about a shipping address modification,2887
REFUND,I have to see in what cases can I request a refund,5969
ORDER,"I need to see purchase {{Order Number}} status, how to do it?",25613
INVOICE,i want assistance getting the bill #37777,15179
PAYMENT,how do I report errors with online payments ?,18041
REFUND,I need to see how long reimbursements take,6171
REFUND,"I have got to see your money back policy, how can I do it?",5931
FEEDBACK,I'm extremely unhapp with ur services help to make a claim,7124
CONTACT,do uhave a toll-free customer assistance phone number,8184
CANCEL,I want help seeing the cancellation charge,3327
REFUND,I need help to receive restitutions of money,15994
CANCEL,where could I check the goddamn cancellation charge?,3432
ACCOUNT,i no lomger need my damn gold account can uhelp me delete it,11815
CANCEL,what is the early exit penalty,3044
DELIVERY,I don't know what to do to see how soon can I expect my item,13139
INVOICE,i need assistance to give a quick look at the invoice #37777,4270
INVOICE,I need help to find my invoice #12588,4517
CANCEL,I don't know how to see the withdrawal charge,3279
FEEDBACK,"I need to file a customer reclamation, how do I do it?",7659
CONTACT,i dont know what to do to chat with an agent,9479
SHIPPING,I have issues editing my address,2747
PAYMENT,where do I see your accepted payment methods?,5804
CANCEL,"I have got to see the cancellation charge, can you help me?",3540
REFUND,can ya show me in what cases can i ask for a reimbursement,6681
CANCEL,assistance checkingthe termination fees,3555
REFUND,how to check if there is anything wrong with my rebate?,26290
REFUND,i dont know how to see ur goddamn money back guarantee,6412
DELIVERY,want help checking when will my product arrive,13175
CANCEL,can you help me checking the cancellation fees?,3435
FEEDBACK,is there an address to submit a review for a product,22494
SUBSCRIPTION,i want assistance unsubscribing from the newsletter,17348
DELIVERY,deliveries to {{Delivery Country}},12004
CANCEL,I do not know how to see the withdrawal charges,3045
ORDER,can i swap a product of purchase {{Order Number}},1840
ORDER,i have to see the damn ETA of my delivery helpme,25589
DELIVERY,I have to see how soon can I expect my article,13786
SUBSCRIPTION,i cannot unsubscribe from urnewsletter,16983
INVOICE,I'm trying to get th fucking invoices from {{Person Name}},15505
REFUND,how do I see the status of the reimbursement?,26736
FEEDBACK,can you help me make a complaint against your company?,7256
ORDER,help acquiring some items,19758
REFUND,i expect a compensation of {{Refund Amount}} dollars was it processed,26775
SHIPPING,I can't update my address,2183
CONTACT,where do I check what hours I can call customer assistance?,8221
CANCEL,i have got to check the early exit fee can uhelp me,3379
INVOICE,I want help to give a quick look at the invoice #85632,4499
CONTACT,assistance to contact goddamn customer support,8876
ACCOUNT,I don't know what I haqve to do to close a pro account,11284
ORDER,where to cancel purchase {{Order Number}},93
CANCEL,i have to check the cancellation penalty,3546
INVOICE,"I have to get the goddamn bill from {{Person Name}}, help me",15464
ACCOUNT,I want information about a {{Account Category}} account cancellation,11241
CANCEL,wanna check the termination penalties,3038
SHIPPING,y i cannot set up the secondary shipping address valid,23544
DELIVERY,I am calling to see when will my product arirve,13157
PAYMENT,i do not knwo how to see the payment methods,5437
SUBSCRIPTION,i dont know how to cancel my subscription to the newsletter,17293
CANCEL,"I have got to see the cancellation charge, how to do it?",3751
ACCOUNT,update details on freemium account,14710
DELIVERY,I want to check when my delivery is going to arrive,13381
ACCOUNT,i need help to cancel a freemium account,11071
FEEDBACK,i need assistance to leave a review about ur company,22158
ACCOUNT,I don't know what I have to do to remove a damn gold account,11847
DELIVERY,how do I check the methods for shipping?,12522
PAYMENT,want help to check ur payment methods,5351
ACCOUNT,i have got to retrieve the pass of my user prodile,20313
SHIPPING,supports trying to modify theaddress,2246
ORDER,need assistance checking order {{Order Number}} status,25151
SUBSCRIPTION,I cannot unsubscribe to your newslettewr,16971
DELIVERY,help to check what shipment options are there,12299
CANCEL,I don't know how to see the early exit charges,3711
SHIPPING,the secondary shipping address is invalid,23551
PAYMENT,can ya help me notify of an issue with payment,18820
ORDER,I need assistancde cancelling order {{Order Number}},70
ACCOUNT,I am trying to recover my user profile PIN,20593
PAYMENT,how to inform of a problem with online payments?,18176
PAYMENT,see your available payment options,5502
INVOICE,I do not know how to give a quick look at my bill #00108,3988
ORDER,"I have got to order some items, can you help me?",19659
REFUND,I expect an reimbursement of {{Currency Symbol}}{{Refund Amount}},26578
DELIVERY,can i check when my bloody shipment is gonna arrive,13264
REFUND,help me to see your goddamn refund policy,6829
CONTACT,I don't know how I can speak with a goddamn person,9869
FEEDBACK,can you help me file a customer claim?,7433
ACCOUNT,"I don't have a bloody user, could you help me to open one?",10623
PAYMENT,i need help reporting problems with online payment,18824
ORDER,i need help earning several articles,19394
REFUND,I am waiting for a reimbursement of {{Currency Symbol}}{{Refund Amount}},26512
CANCEL,I do not know what to do to see the withdrawal penalties,3234
PAYMENT,I don't know what I need to do to report a payment problem,18274
PAYMENT,where to check your payment methods?,5225
DELIVERY,help me checking what shipping methods you offer,12388
PAYMENT,I don't know what to do to inform of a problem with payment,18852
CANCEL,are there early exit fees?,3752
CANCEL,can I check the early termination fee?,3775
ORDER,want assistance cancelling purchase {{Order Number}},544
FEEDBACK,can you help me make a customer claim?,7367
CANCEL,I can't find the early terminatuon penalty,3538
CONTACT,i need help seeing what hours i csn call customer service,8673
FEEDBACK,"I want to file a customer reclamation, can I get some help?",7042
ACCOUNT,i have problems with creating a pro account,10238
PAYMENT,want assistance notifying of payment issues,18584
CANCEL,I need assistance checking the early exit charges,3588
SUBSCRIPTION,need help cancelling the subscription to ur newesletter,17032
CANCEL,I have to see the withdrawal fees,3033
CONTACT,I'm trying to check what hours i can call customer support,8433
FEEDBACK,I'm not happy with ur work how do i make a claim,7212
SUBSCRIPTION,i cannot unsubacribe to ur company newsletter,17417
FEEDBACK,I do not know what I have to do to submit bloody feedback,22118
DELIVERY,help me checking what delivery methods I have,12138
SHIPPING,troubles entering the secondary delivery address,23296
ACCOUNT,open another {{Account Type}} account for mum,10723
ACCOUNT,give me information about {{Account Type}} account cancellations,11014
ACCOUNT,i do not know what to do to notify of a sign-up issue,21345
DELIVERY,i need assistance to see when will my product arrive,13759
CANCEL,help seeing the termination charges,3248
REFUND,I'm waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},25896
REFUND,can ya help me receive rebates,16718
CANCEL,where could I see the early exit penalties?,3837
CANCEL,I need assistance to check the early exit penalty,3474
CONTACT,what do I have to do to call customer service?,8212
REFUND,receiving rebate,16765
ORDER,need help ordering some products,19787
FEEDBACK,help me make a complaint against ur business,7441
INVOICE,what do i have to do to give a quick look at my bill #00108,4216
ACCOUNT,new platinum account,10176
ACCOUNT,hep using the {{Account Category}} profile,23959
INVOICE,i want assistance downloading the bills from {{Person Name}},15888
PAYMENT,need assistance solving an issue with online paymenst,18569
CONTACT,how do I check what hours I can call customer assistance ?,8513
DELIVERY,"I have to see the methods for shipping, I need help",12175
DELIVERY,help to see what shipping options you offer,12266
PAYMENT,"I can't make a transfer, can I notify of payment errors?",17924
FEEDBACK,I want to send some feedback for a product,22611
INVOICE,i dont know what to do  to download bill #85632,15608
REFUND,i dont know what i need to do to obtain a rebate of my money,16879
ORDER,ETA of ordr {{Order Number}},25599
PAYMENT,inform of payment problems,18087
FEEDBACK,i want help to leave a comment about ur services,22157
SUBSCRIPTION,i dont know what i need to do to subscribe to ur newsletter,17846
CANCEL,where do I check the termination fees?,3373
INVOICE,assistance to look for the bill from {{Person Name}},4225
SUBSCRIPTION,can utell me about the corporate newsletter subscription,17113
ACCOUNT,change to premium acount,24275
CANCEL,is it possible to check the early termination charges,3287
ACCOUNT,edit standard account,14365
DELIVERY,can you help me seeing how soon can I expect my parcel?,13042
ACCOUNT,I want assistance to retrieve my access key,20342
CANCEL,assistance checking the termination fees,3727
ACCOUNT,I want help creating a new damn standard account,9936
SUBSCRIPTION,assistance receiving the company newsletter,17185
DELIVERY,do ya ship to {{Delivery Country}},12040
PAYMENT,I want assistance seeing the allowed payment options,5338
SHIPPING,errors setting a delivery address up,23440
CONTACT,help to talk to customer service,8658
CANCEL,help me check the early termination penalty,3385
FEEDBACK,want helpmaking a consumer reclamation against ur company,7908
ACCOUNT,another standard account,10323
CONTACT,do you have a mail to get in touch with customer assistance?,8484
CONTACT,"I have to talk to customer service, how do I do it?",8624
SUBSCRIPTION,how do I subscribe to your newsletter?,17161
INVOICE,"I want to locate the invoice #85632, I need assistance",4445
FEEDBACK,do ya have an e-mail to send a review for a service,22872
REFUND,"I want to check my damn rebate status, how do I do it?",26017
SHIPPING,there is a problem updating my shipping address,2427
REFUND,I donot know what to do to demand a refund,16582
SUBSCRIPTION,I need help signing up to your newsletter,17275
ACCOUNT,help me use the {{Account Type}} profile,24360
SUBSCRIPTION,would it be possible to sign up to the company newsletter?,17363
REFUND,how can I get refunds of my money?,16512
INVOICE,mail me my bill from {{Person Name}},15391
FEEDBACK,want help to lodge a customer complaint,7023
REFUND,I want to check the current status of the refund,26535
ACCOUNT,i need assistance with creating a freemium acount,10070
SUBSCRIPTION,help me sign up to the corporate newsletter,17584
CANCEL,how can I check the withdrawal charges?,3637
REFUND,help me  to check in what cases can i ask to be refunded,6380
PAYMENT,what do i have to do to report a bloody issue with payments,18326
CANCEL,assistance checking the fucking early exit penalties,3203
ACCOUNT,I need information about the deletion of my {{Account Type}} account,11107
INVOICE,i dont know how i can download my invoice #85632,15330
SUBSCRIPTION,i need help unsubscribing to the newsletter,17429
PAYMENT,need assistaance to see the accepted payment methods,5783
CONTACT,how to speak with somebody ?,9199
INVOICE,I do not know what to do to look for the bill #00108,3947
INVOICE,I call to download my bill from {{Person Name}},15351
ORDER,update purcahse {{Order Number}},1912
CONTACT,ya have a free number to talk with customer service,8256
ORDER,what is purchase {{Order Number}} status,25850
CANCEL,can ya help me checking the cancellation charges,3280
ORDER,checking order {{Order Number}} current status,25735
SHIPPING,there is an issue entering another delivery address,23398
CANCEL,where do i check the termination penalty,3227
ORDER,can ya help me change a product of purchase {{Order Number}},1978
ORDER,assistance to see the ETA of order {{Order Number}},25712
REFUND,I'm waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},26037
DELIVERY,how soon can I expect my delivery?,13644
DELIVERY,I do not know what to do to check the options for shipment,12519
SUBSCRIPTION,I want help receoving the newsletter,17635
INVOICE,I do not know how I could get bill #12588,15369
SUBSCRIPTION,I need information about cancel the newsletter subscription,17794
SHIPPING,"I would like to set the shipping address up, I need help",23232
CANCEL,nded to check the termination penalties how to do it,3861
CANCEL,can I see the termination penalty?,3700
REFUND,i have got to see in which cases can i request my money back,6128
FEEDBACK,I need to lodge a customer claim against your business,7694
ORDER,how to add an article to purchase {{Order Number}}?,1650
SHIPPING,i need help entering another delivery address,23492
INVOICE,I don't know how I could give a quick look at invoice #00108,4027
INVOICE,I don't know what I need to do to download my invoice #12588,15825
SHIPPING,help to submit a secondary delivery address,23475
INVOICE,how can I check the fucking bill from {{Person Name}}?,4805
REFUND,"I expect a compensation of {{Refund Amount}} dollars, was it processed",26375
PAYMENT,"I have to list the payment modalities, can I get some help?",5767
ORDER,Iwant assistance canceling order {{Order Number}},871
ORDER,what do I need to do to track order {{Order Number}}?,25052
INVOICE,can I download my invoice from {{Person Name}}?,15353
ORDER,help swapping some products of order {{Order Number}},1738
INVOICE,chck bill from {{Person Name}},4149
SUBSCRIPTION,"I have to receive your newsletter, can you help me?",17730
REFUND,i want help seeing in what cases can i ask to be refunded,6715
FEEDBACK,I want assistance filing a customer claim,7126
CANCEL,what do I have to do to see the early exit fee?,3229
FEEDBACK,could I make a customer complaint against your business?,7497
INVOICE,I want help getting bill #85632,15006
SHIPPING,is it possible to set a different shipping address up?,23400
